Id,TITLE,ABSTRACT,INTRODUCTION TO IS,DATA & KNOWLEDGE MANAGEMENT,ETHICAL ISSUES & PRIVACY,SOCIAL COMPUTING,COMPUTER NETWORKS,IS WITHIN ORGANIZATION,COMPUTER SCIENCE
205,Improper posteriors are not improper,"In 1933 Kolmogorov constructed a general theory that defines the modern
 concept of conditional expectation. In 1955 Renyi fomulated a new axiomatic
 theory for probability motivated by the need to include unbounded measures. We
 introduce a general concept of conditional expectation in Renyi spaces. In this
 theory improper priors are allowed, and the resulting posterior can also be
 improper.
 In 1965 Lindley published his classic text on Bayesian statistics using the
 theory of Renyi, but retracted this idea in 1973 due to the appearance of
 marginalization paradoxes presented by Dawid, Stone, and Zidek. The paradoxes
 are investigated, and the seemingly conflicting results are explained. The
 theory of Renyi can hence be used as an axiomatic basis for statistics that
 allows use of unbounded priors.
 Keywords: Haldane's prior; Poisson intensity; Marginalization paradox;
 Measure theory; conditional probability space; axioms for statistics;
 conditioning on a sigma field; improper prior",0,0,1,1,0,0,
206,Fault Tolerant Consensus Agreement Algorithm,"Recently a new fault tolerant and simple mechanism was designed for solving
 commit consensus problem. It is based on replicated validation of messages sent
 between transaction participants and a special dispatcher validator manager
 node. This paper presents a correctness, safety proofs and performance analysis
 of this algorithm.",1,0,0,0,0,0,
207,Congestion Barcodes: Exploring the Topology of Urban Congestion Using Persistent Homology,"This work presents a new method to quantify connectivity in transportation
 networks. Inspired by the field of topological data analysis, we propose a
 novel approach to explore the robustness of road network connectivity in the
 presence of congestion on the roadway. The robustness of the pattern is
 summarized in a congestion barcode, which can be constructed directly from
 traffic datasets commonly used for navigation. As an initial demonstration, we
 illustrate the main technique on a publicly available traffic dataset in a
 neighborhood in New York City.",1,0,1,0,0,0,
208,Once in a blue moon: detection of 'bluing' during debris transits in the white dwarf WD1145+017,"The first transiting planetesimal orbiting a white dwarf was recently
 detected in K2 data of WD1145+017 and has been followed up intensively. The
 multiple, long, and variable transits suggest the transiting objects are dust
 clouds, probably produced by a disintegrating asteroid. In addition, the system
 contains circumstellar gas, evident by broad absorption lines, mostly in the
 u'-band, and a dust disc, indicated by an infrared excess. Here we present the
 first detection of a change in colour of WD1145+017 during transits, using
 simultaneous multi-band fast-photometry ULTRACAM measurements over the
 u'g'r'i'-bands. The observations reveal what appears to be 'bluing' during
 transits; transits are deeper in the redder bands, with a u'-r' colour
 difference of up to ~-0.05 mag. We explore various possible explanations for
 the bluing. 'Spectral' photometry obtained by integrating over bandpasses in
 the spectroscopic data in- and out-of-transit, compared to the photometric
 data, shows that the observed colour difference is most likely the result of
 reduced circumstellar absorption in the spectrum during transits. This
 indicates that the transiting objects and the gas share the same line-of-sight,
 and that the gas covers the white dwarf only partially, as would be expected if
 the gas, the transiting debris, and the dust emitting the infrared excess, are
 part of the same general disc structure (although possibly at different radii).
 In addition, we present the results of a week-long monitoring campaign of the
 system.",0,1,0,0,0,0,
209,"Viscous dynamics of drops and bubbles in Hele-Shaw cells: drainage, drag friction, coalescence, and bursting","In this review article, we discuss recent studies on drops and bubbles in
 Hele-Shaw cells, focusing on how scaling laws exhibit crossovers from the
 three-dimensional counterparts and focusing on topics in which viscosity plays
 an important role. By virtue of progresses in analytical theory and high-speed
 imaging, dynamics of drops and bubbles have actively been studied with the aid
 of scaling arguments. However, compared with three dimensional problems,
 studies on the corresponding problems in Hele-Shaw cells are still limited.
 This review demonstrates that the effect of confinement in the Hele-Shaw cell
 introduces new physics allowing different scaling regimes to appear. For this
 purpose, we discuss various examples that are potentially important for
 industrial applications handling drops and bubbles in confined spaces by
 showing agreement between experiments and scaling theories. As a result, this
 review provides a collection of problems in hydrodynamics that may be
 analytically solved or that may be worth studying numerically in the near
 future.",0,1,0,0,0,0,
210,Stacking-based Deep Neural Network: Deep Analytic Network on Convolutional Spectral Histogram Features,"Stacking-based deep neural network (S-DNN), in general, denotes a deep neural
 network (DNN) resemblance in terms of its very deep, feedforward network
 architecture. The typical S-DNN aggregates a variable number of individually
 learnable modules in series to assemble a DNN-alike alternative to the targeted
 object recognition tasks. This work likewise devises an S-DNN instantiation,
 dubbed deep analytic network (DAN), on top of the spectral histogram (SH)
 features. The DAN learning principle relies on ridge regression, and some key
 DNN constituents, specifically, rectified linear unit, fine-tuning, and
 normalization. The DAN aptitude is scrutinized on three repositories of varying
 domains, including FERET (faces), MNIST (handwritten digits), and CIFAR10
 (natural objects). The empirical results unveil that DAN escalates the SH
 baseline performance over a sufficiently deep layer.",1,0,0,0,0,0,
211,Superconductivity and Frozen Electronic States at the (111) LaAlO$_3$/SrTiO$_3$ Interface,"In spite of Anderson's theorem, disorder is known to affect superconductivity
 in conventional s-wave superconductors. In most superconductors, the degree of
 disorder is fixed during sample preparation. Here we report measurements of the
 superconducting properties of the two-dimensional gas that forms at the
 interface between LaAlO$_3$ (LAO) and SrTiO$_3$ (STO) in the (111) crystal
 orientation, a system that permits \emph{in situ} tuning of carrier density and
 disorder by means of a back gate voltage $V_g$. Like the (001) oriented LAO/STO
 interface, superconductivity at the (111) LAO/STO interface can be tuned by
 $V_g$. In contrast to the (001) interface, superconductivity in these (111)
 samples is anisotropic, being different along different interface crystal
 directions, consistent with the strong anisotropy already observed other
 transport properties at the (111) LAO/STO interface. In addition, we find that
 the (111) interface samples ""remember"" the backgate voltage $V_F$ at which they
 are cooled at temperatures near the superconducting transition temperature
 $T_c$, even if $V_g$ is subsequently changed at lower temperatures. The low
 energy scale and other characteristics of this memory effect ($<1$ K)
 distinguish it from charge-trapping effects previously observed in (001)
 interface samples.",0,1,0,0,0,0,
212,Emittance preservation of an electron beam in a loaded quasi-linear plasma wakefield,"We investigate beam loading and emittance preservation for a high-charge
 electron beam being accelerated in quasi-linear plasma wakefields driven by a
 short proton beam. The structure of the studied wakefields are similar to those
 of a long, modulated proton beam, such as the AWAKE proton driver. We show that
 by properly choosing the electron beam parameters and exploiting two well known
 effects, beam loading of the wakefield and full blow out of plasma electrons by
 the accelerated beam, the electron beam can gain large amounts of energy with a
 narrow final energy spread (%-level) and without significant emittance growth.",0,1,0,0,0,0,
213,Detection of Nonlinearly Distorted OFDM Signals via Generalized Approximate Message Passing,"In this paper, we propose a practical receiver for multicarrier signals
 subjected to a strong memoryless nonlinearity. The receiver design is based on
 a generalized approximate message passing (GAMP) framework, and this allows
 real-time algorithm implementation in software or hardware with moderate
 complexity. We demonstrate that the proposed receiver can provide more than a
 2dB gain compared with an ideal uncoded linear OFDM transmission at a BER range
 $10^{-4}\div10^{-6}$ in the AWGN channel, when the OFDM signal is subjected to
 clipping nonlinearity and the crest-factor of the clipped waveform is only
 1.9dB. Simulation results also demonstrate that the proposed receiver provides
 significant performance gain in frequency-selective multipath channels",1,0,0,0,0,0,
214,Nonlinear fractal meaning of the Hubble constant,"According to astrophysical observations value of recession velocity in a
 certain point is proportional to a distance to this point. The proportionality
 coefficient is the Hubble constant measured with 5% accuracy. It is used in
 many cosmological theories describing dark energy, dark matter, baryons, and
 their relation with the cosmological constant introduced by Einstein.
 In the present work we have determined a limit value of the global Hubble
 constant (in a big distance from a point of observations) theoretically without
 using any empirical constants on the base of our own fractal model used for the
 description a relation between distance to an observed galaxy and coordinate of
 its center. The distance has been defined as a nonlinear fractal measure with
 scale of measurement corresponding to a deviation of the measure from its fixed
 value (zero-gravity radius). We have suggested a model of specific anisotropic
 fractal for simulation a radial Universe expansion. Our theoretical results
 have shown existence of an inverse proportionality between accuracy of
 determination the Hubble constant and accuracy of calculation a coordinates of
 galaxies leading to ambiguity results obtained at cosmological observations.",0,1,0,0,0,0,
215,SEA: String Executability Analysis by Abstract Interpretation,"Dynamic languages often employ reflection primitives to turn dynamically
 generated text into executable code at run-time. These features make standard
 static analysis extremely hard if not impossible because its essential data
 structures, i.e., the control-flow graph and the system of recursive equations
 associated with the program to analyse, are themselves dynamically mutating
 objects. We introduce SEA, an abstract interpreter for automatic sound string
 executability analysis of dynamic languages employing bounded (i.e, finitely
 nested) reflection and dynamic code generation. Strings are statically
 approximated in an abstract domain of finite state automata with basic
 operations implemented as symbolic transducers. SEA combines standard program
 analysis together with string executability analysis. The analysis of a call to
 reflection determines a call to the same abstract interpreter over a code which
 is synthesised directly from the result of the static string executability
 analysis at that program point. The use of regular languages for approximating
 dynamically generated code structures allows SEA to soundly approximate safety
 properties of self modifying programs yet maintaining efficiency. Soundness
 here means that the semantics of the code synthesised by the analyser to
 resolve reflection over-approximates the semantics of the code dynamically
 built at run-rime by the program at that point.",1,0,0,0,0,0,
216,On the trade-off between labels and weights in quantitative bisimulation,"Reductions for transition systems have been recently introduced as a uniform
 and principled method for comparing the expressiveness of system models with
 respect to a range of properties, especially bisimulations. In this paper we
 study the expressiveness (w.r.t. bisimulations) of models for quantitative
 computations such as weighted labelled transition systems (WLTSs), uniform
 labelled transition systems (ULTraSs), and state-to-function transition systems
 (FuTSs). We prove that there is a trade-off between labels and weights: at one
 extreme lays the class of (unlabelled) weighted transition systems where
 information is presented using weights only; at the other lays the class of
 labelled transition systems (LTSs) where information is shifted on labels.
 These categories of systems cannot be further reduced in any significant way
 and subsume all the aforementioned models.",1,0,0,0,0,0,
217,Poynting's theorem in magnetic turbulence,"Poynting's theorem is used to obtain an expression for the turbulent
 power-spectral density as function of frequency and wavenumber in low-frequency
 magnetic turbulence. No reference is made to Elsasser variables as is usually
 done in magnetohydrodynamic turbulence mixing mechanical and electromagnetic
 turbulence. We rather stay with an implicit form of the mechanical part of
 turbulence as suggested by electromagnetic theory in arbitrary media. All of
 mechanics and flows is included into a turbulent response function which by
 appropriate observations can be determined from knowledge of the turbulent
 fluctuation spectra. This approach is not guided by the wish of developing a
 complete theory of turbulence. It aims on the identification of the response
 function from observations as input into a theory which afterwards attempts its
 interpretation. Combination of both the magnetic and electric power spectral
 densities leads to a representation of the turbulent response function, i.e.
 the turbulent conductivity spectrum $\sigma_{\omega k}$ as function of
 frequency $\omega$ and wavenumber $k$. {It is given as the ratio of magnetic to
 electric power spectral densities in frequency space. This knowledge allows for
 formally writing down a turbulent dispersion relation. Power law inertial range
 spectra result in a power law turbulent conductivity spectrum. These can be
 compared with observations in the solar wind. Keywords: MHD turbulence,
 turbulent dispersion relation, turbulent response function, solar wind
 turbulence",0,1,0,0,0,0,
218,Polar factorization of conformal and projective maps of the sphere in the sense of optimal mass transport,"Let M be a compact Riemannian manifold and let $\mu$,d be the associated
 measure and distance on M. Robert McCann obtained, generalizing results for the
 Euclidean case by Yann Brenier, the polar factorization of Borel maps S : M ->
 M pushing forward $\mu$ to a measure $\nu$: each S factors uniquely a.e. into
 the composition S = T \circ U, where U : M -> M is volume preserving and T : M
 -> M is the optimal map transporting $\mu$ to $\nu$ with respect to the cost
 function d^2/2.
 In this article we study the polar factorization of conformal and projective
 maps of the sphere S^n. For conformal maps, which may be identified with
 elements of the identity component of O(1,n+1), we prove that the polar
 factorization in the sense of optimal mass transport coincides with the
 algebraic polar factorization (Cartan decomposition) of this Lie group. For the
 projective case, where the group GL_+(n+1) is involved, we find necessary and
 sufficient conditions for these two factorizations to agree.",0,0,1,0,0,0,
219,Representing numbers as the sum of squares and powers in the ring $\mathbb{Z}_n$,"We examine the representation of numbers as the sum of two squares in
 $\mathbb{Z}_n$ for a general positive integer $n$. Using this information we
 make some comments about the density of positive integers which can be
 represented as the sum of two squares and powers of $2$ in $\mathbb{N}$.",0,0,1,0,0,0,
220,Spatial Regression and the Bayesian Filter,"Regression for spatially dependent outcomes poses many challenges, for
 inference and for computation. Non-spatial models and traditional spatial
 mixed-effects models each have their advantages and disadvantages, making it
 difficult for practitioners to determine how to carry out a spatial regression
 analysis. We discuss the data-generating mechanisms implicitly assumed by
 various popular spatial regression models, and discuss the implications of
 these assumptions. We propose Bayesian spatial filtering as an approximate
 middle way between non-spatial models and traditional spatial mixed models. We
 show by simulation that our Bayesian spatial filtering model has several
 desirable properties and hence may be a useful addition to a spatial
 statistician's toolkit.",0,0,0,1,0,0,
221,Behaviour of electron content in the ionospheric D-region during solar X-ray flares,"One of the most important parameters in ionospheric plasma research also
 having a wide practical application in wireless satellite telecommunications is
 the total electron content (TEC) representing the columnal electron number
 density. The F region with high electron density provides the biggest
 contribution to TEC while the relatively weakly ionized plasma of the D region
 (60 km - 90 km above Earths surface) is often considered as a negligible cause
 of satellite signal disturbances. However, sudden intensive ionization
 processes like those induced by solar X ray flares can cause relative increases
 of electron density that are significantly larger in the D-region than in
 regions at higher altitudes. Therefore, one cannot exclude a priori the D
 region from investigations of ionospheric influences on propagation of
 electromagnetic signals emitted by satellites. We discuss here this problem
 which has not been sufficiently treated in literature so far. The obtained
 results are based on data collected from the D region monitoring by very low
 frequency radio waves and on vertical TEC calculations from the Global
 Navigation Satellite System (GNSS) signal analyses, and they show noticeable
 variations in the D region electron content (TECD) during activity of a solar X
 ray flare (it rises by a factor of 136 in the considered case) when TECD
 contribution to TEC can reach several percent and which cannot be neglected in
 practical applications like global positioning procedures by satellites.",0,1,0,0,0,0,
222,Fractional compound Poisson processes with multiple internal states,"For the particles undergoing the anomalous diffusion with different waiting
 time distributions for different internal states, we derive the Fokker-Planck
 and Feymann-Kac equations, respectively, describing positions of the particles
 and functional distributions of the trajectories of particles; in particular,
 the equations governing the functional distribution of internal states are also
 obtained. The dynamics of the stochastic processes are analyzed and the
 applications, calculating the distribution of the first passage time and the
 distribution of the fraction of the occupation time, of the equations are
 given.",0,0,1,1,0,0,
223,Zero-point spin-fluctuations of single adatoms,"Stabilizing the magnetic signal of single adatoms is a crucial step towards
 their successful usage in widespread technological applications such as
 high-density magnetic data storage devices. The quantum mechanical nature of
 these tiny objects, however, introduces intrinsic zero-point spin-fluctuations
 that tend to destabilize the local magnetic moment of interest by dwindling the
 magnetic anisotropy potential barrier even at absolute zero temperature. Here,
 we elucidate the origins and quantify the effect of the fundamental ingredients
 determining the magnitude of the fluctuations, namely the ($i$) local magnetic
 moment, ($ii$) spin-orbit coupling and ($iii$) electron-hole Stoner
 excitations. Based on a systematic first-principles study of 3d and 4d adatoms,
 we demonstrate that the transverse contribution of the fluctuations is
 comparable in size to the magnetic moment itself, leading to a remarkable
 $\gtrsim$50$\%$ reduction of the magnetic anisotropy energy. Our analysis gives
 rise to a comprehensible diagram relating the fluctuation magnitude to
 characteristic features of adatoms, providing practical guidelines for
 designing magnetically stable nanomagnets with minimal quantum fluctuations.",0,1,0,0,0,0,
224,Exploration-exploitation tradeoffs dictate the optimal distributions of phenotypes for populations subject to fitness fluctuations,"We study a minimal model for the growth of a phenotypically heterogeneous
 population of cells subject to a fluctuating environment in which they can
 replicate (by exploiting available resources) and modify their phenotype within
 a given landscape (thereby exploring novel configurations). The model displays
 an exploration-exploitation trade-off whose specifics depend on the statistics
 of the environment. Most notably, the phenotypic distribution corresponding to
 maximum population fitness (i.e. growth rate) requires a non-zero exploration
 rate when the magnitude of environmental fluctuations changes randomly over
 time, while a purely exploitative strategy turns out to be optimal in two-state
 environments, independently of the statistics of switching times. We obtain
 analytical insight into the limiting cases of very fast and very slow
 exploration rates by directly linking population growth to the features of the
 environment.",0,0,0,0,1,0,
225,Evaluating openEHR for storing computable representations of electronic health record phenotyping algorithms,"Electronic Health Records (EHR) are data generated during routine clinical
 care. EHR offer researchers unprecedented phenotypic breadth and depth and have
 the potential to accelerate the pace of precision medicine at scale. A main EHR
 use-case is creating phenotyping algorithms to define disease status, onset and
 severity. Currently, no common machine-readable standard exists for defining
 phenotyping algorithms which often are stored in human-readable formats. As a
 result, the translation of algorithms to implementation code is challenging and
 sharing across the scientific community is problematic. In this paper, we
 evaluate openEHR, a formal EHR data specification, for computable
 representations of EHR phenotyping algorithms.",1,0,0,0,0,0,
226,Optimizing Mission Critical Data Dissemination in Massive IoT Networks,"Mission critical data dissemination in massive Internet of things (IoT)
 networks imposes constraints on the message transfer delay between devices. Due
 to low power and communication range of IoT devices, data is foreseen to be
 relayed over multiple device-to-device (D2D) links before reaching the
 destination. The coexistence of a massive number of IoT devices poses a
 challenge in maximizing the successful transmission capacity of the overall
 network alongside reducing the multi-hop transmission delay in order to support
 mission critical applications. There is a delicate interplay between the
 carrier sensing threshold of the contention based medium access protocol and
 the choice of packet forwarding strategy selected at each hop by the devices.
 The fundamental problem in optimizing the performance of such networks is to
 balance the tradeoff between conflicting performance objectives such as the
 spatial frequency reuse, transmission quality, and packet progress towards the
 destination. In this paper, we use a stochastic geometry approach to quantify
 the performance of multi-hop massive IoT networks in terms of the spatial
 frequency reuse and the transmission quality under different packet forwarding
 schemes. We also develop a comprehensive performance metric that can be used to
 optimize the system to achieve the best performance. The results can be used to
 select the best forwarding scheme and tune the carrier sensing threshold to
 optimize the performance of the network according to the delay constraints and
 transmission quality requirements.",1,0,0,0,0,0,
227,Interference of two co-directional exclusion processes in the presence of a static bottleneck: a biologically motivated model,"We develope a two-species exclusion process with a distinct pair of entry and
 exit sites for each species of rigid rods. The relatively slower forward
 stepping of the rods in an extended bottleneck region, located in between the
 two entry sites, controls the extent of interference of the co-directional flow
 of the two species of rods. The relative positions of the sites of entry of the
 two species of rods with respect to the location of the bottleneck are
 motivated by a biological phenomenon. However, the primary focus of the study
 here is to explore the effects of the interference of the flow of the two
 species of rods on their spatio-temporal organization and the regulations of
 this interference by the extended bottleneck. By a combination of mean-field
 theory and computer simulation we calculate the flux of both species of rods
 and their density profiles as well as the composite phase diagrams of the
 system. If the bottleneck is sufficiently stringent some of the phases become
 practically unrealizable although not ruled out on the basis of any fundamental
 physical principle. Moreover the extent of suppression of flow of the
 downstream entrants by the flow of the upstream entrants can also be regulated
 by the strength of the bottleneck. We speculate on the possible implications of
 the results in the context of the biological phenomenon that motivated the
 formulation of the theoretical model.",0,1,0,0,0,0,
228,Gaussian fluctuations of Jack-deformed random Young diagrams,"We introduce a large class of random Young diagrams which can be regarded as
 a natural one-parameter deformation of some classical Young diagram ensembles;
 a deformation which is related to Jack polynomials and Jack characters. We show
 that each such a random Young diagram converges asymptotically to some limit
 shape and that the fluctuations around the limit are asymptotically Gaussian.",0,0,1,0,0,0,
229,Revisiting (logarithmic) scaling relations using renormalization group,"We explicitly compute the critical exponents associated with logarithmic
 corrections (the so-called hatted exponents) starting from the renormalization
 group equations and the mean field behavior for a wide class of models at the
 upper critical behavior (for short and long range $\phi^n$-theories) and below
 it. This allows us to check the scaling relations among these critical
 exponents obtained by analysing the complex singularities (Lee-Yang and Fisher
 zeroes) of these models. Moreover, we have obtained an explicit method to
 compute the $\hat{\coppa}$ exponent [defined by $\xi\sim L (\log
 L)^{\hat{\coppa}}$] and, finally, we have found a new derivation of the scaling
 law associated with it.",0,1,0,0,0,0,
230,Concentration of weakly dependent Banach-valued sums and applications to statistical learning methods,"We obtain a Bernstein-type inequality for sums of Banach-valued random
 variables satisfying a weak dependence assumption of general type and under
 certain smoothness assumptions of the underlying Banach norm. We use this
 inequality in order to investigate in the asymptotical regime the error upper
 bounds for the broad family of spectral regularization methods for reproducing
 kernel decision rules, when trained on a sample coming from a $\tau-$mixing
 process.",0,0,1,1,0,0,
231,Evolution of the Kondo lattice electronic structure above the transport coherence temperature,"The temperature-dependent evolution of the Kondo lattice is a long-standing
 topic of theoretical and experimental investigation and yet it lacks a truly
 microscopic description of the relation of the basic $f$-$d$ hybridization
 processes to the fundamental temperature scales of Kondo screening and
 Fermi-liquid lattice coherence. Here, the temperature-dependence of $f$-$d$
 hybridized band dispersions and Fermi-energy $f$ spectral weight in the Kondo
 lattice system CeCoIn$_5$ is investigated using $f$-resonant angle-resolved
 photoemission (ARPES) with sufficient detail to allow direct comparison to
 first principles dynamical mean field theory (DMFT) calculations containing
 full realism of crystalline electric field states. The ARPES results, for two
 orthogonal (001) and (100) cleaved surfaces and three different $f$-$d$
 hybridization scenarios, with additional microscopic insight provided by DMFT,
 reveal $f$ participation in the Fermi surface at temperatures much higher than
 the lattice coherence temperature, $T^*\approx$ 45 K, commonly believed to be
 the onset for such behavior. The identification of a $T$-dependent crystalline
 electric field degeneracy crossover in the DMFT theory $below$ $T^*$ is
 specifically highlighted.",0,1,0,0,0,0,
232,On A Conjecture Regarding Permutations Which Destroy Arithmetic Progressions,"Hegarty conjectured for $n\neq 2, 3, 5, 7$ that $\mathbb{Z}/n\mathbb{Z}$ has
 a permutation which destroys all arithmetic progressions mod $n$. For $n\ge
 n_0$, Hegarty and Martinsson demonstrated that $\mathbb{Z}/n\mathbb{Z}$ has an
 arithmetic-progression destroying permutation. However $n_0\approx 1.4\times
 10^{14}$ and thus resolving the conjecture in full remained out of reach of any
 computational techniques. However, this paper using constructions modeled after
 those used by Elkies and Swaminathan for the case of $\mathbb{Z}/p\mathbb{Z}$
 with $p$ being prime, establish the conjecture in full. Furthermore our results
 do not rely on the fact that it suffices to study when $n<n_0$ and thus our
 results completely independent of the proof given by Hegarty and Martinsson.",0,0,1,0,0,0,
233,Inverse monoids and immersions of cell complexes,"An immersion $f : {\mathcal D} \rightarrow \mathcal C$ between cell complexes
 is a local homeomorphism onto its image that commutes with the characteristic
 maps of the cell complexes. We study immersions between finite-dimensional
 connected $\Delta$-complexes by replacing the fundamental group of the base
 space by an appropriate inverse monoid. We show how conjugacy classes of the
 closed inverse submonoids of this inverse monoid may be used to classify
 connected immersions into the complex. This extends earlier results of Margolis
 and Meakin for immersions between graphs and of Meakin and Szak?­cs on
 immersions into $2$-dimensional $CW$-complexes.",0,0,1,0,0,0,
234,Not even wrong: The spurious link between biodiversity and ecosystem functioning,"Resolving the relationship between biodiversity and ecosystem functioning has
 been one of the central goals of modern ecology. Early debates about the
 relationship were finally resolved with the advent of a statistical
 partitioning scheme that decomposed the biodiversity effect into a ""selection""
 effect and a ""complementarity"" effect. We prove that both the biodiversity
 effect and its statistical decomposition into selection and complementarity are
 fundamentally flawed because these methods use a na??ve null expectation based
 on neutrality, likely leading to an overestimate of the net biodiversity
 effect, and they fail to account for the nonlinear abundance-ecosystem
 functioning relationships observed in nature. Furthermore, under such
 nonlinearity no statistical scheme can be devised to partition the biodiversity
 effects. We also present an alternative metric providing a more reasonable
 estimate of biodiversity effect. Our results suggest that all studies conducted
 since the early 1990s likely overestimated the positive effects of biodiversity
 on ecosystem functioning.",0,0,0,0,1,0,
235,Evidence of Fraud in Brazil's Electoral Campaigns Via the Benford's Law,"The principle of democracy is that the people govern through elected
 representatives. Therefore, a democracy is healthy as long as the elected
 politicians do represent the people. We have analyzed data from the Brazilian
 electoral court (Tribunal Superior Eleitoral, TSE) concerning money donations
 for the electoral campaigns and the election results. Our work points to two
 disturbing conclusions: money is a determining factor on whether a candidate is
 elected or not (as opposed to representativeness); secondly, the use of
 Benford's Law to analyze the declared donations received by the parties and
 electoral campaigns shows evidence of fraud in the declarations. A better term
 to define Brazil's government system is what we define as chrimatocracy (govern
 by money).",1,0,0,1,0,0,
236,A Berkeley View of Systems Challenges for AI,"With the increasing commoditization of computer vision, speech recognition
 and machine translation systems and the widespread deployment of learning-based
 back-end technologies such as digital advertising and intelligent
 infrastructures, AI (Artificial Intelligence) has moved from research labs to
 production. These changes have been made possible by unprecedented levels of
 data and computation, by methodological advances in machine learning, by
 innovations in systems software and architectures, and by the broad
 accessibility of these technologies.
 The next generation of AI systems promises to accelerate these developments
 and increasingly impact our lives via frequent interactions and making (often
 mission-critical) decisions on our behalf, often in highly personalized
 contexts. Realizing this promise, however, raises daunting challenges. In
 particular, we need AI systems that make timely and safe decisions in
 unpredictable environments, that are robust against sophisticated adversaries,
 and that can process ever increasing amounts of data across organizations and
 individuals without compromising confidentiality. These challenges will be
 exacerbated by the end of the Moore's Law, which will constrain the amount of
 data these technologies can store and process. In this paper, we propose
 several open research directions in systems, architectures, and security that
 can address these challenges and help unlock AI's potential to improve lives
 and society.",1,0,0,0,0,0,
237,"Equivariant infinite loop space theory, I. The space level story","We rework and generalize equivariant infinite loop space theory, which shows
 how to construct G-spectra from G-spaces with suitable structure. There is a
 naive version which gives naive G-spectra for any topological group G, but our
 focus is on the construction of genuine G-spectra when G is finite.
 We give new information about the Segal and operadic equivariant infinite
 loop space machines, supplying many details that are missing from the
 literature, and we prove by direct comparison that the two machines give
 equivalent output when fed equivalent input. The proof of the corresponding
 nonequivariant uniqueness theorem, due to May and Thomason, works for naive
 G-spectra for general G but fails hopelessly for genuine G-spectra when G is
 finite. Even in the nonequivariant case, our comparison theorem is considerably
 more precise, giving a direct point-set level comparison.
 We have taken the opportunity to update this general area, equivariant and
 nonequivariant, giving many new proofs, filling in some gaps, and giving some
 corrections to results in the literature.",0,0,1,0,0,0,
238,Arithmetic purity of strong approximation for homogeneous spaces,"We prove that any open subset $U$ of a semi-simple simply connected
 quasi-split linear algebraic group $G$ with ${codim} (G\setminus U, G)\geq 2$
 over a number field satisfies strong approximation by establishing a fibration
 of $G$ over a toric variety. We also prove a similar result of strong
 approximation with Brauer-Manin obstruction for a partial equivariant smooth
 compactification of a homogeneous space where all invertible functions are
 constant and the semi-simple part of the linear algebraic group is quasi-split.
 Some semi-abelian varieties of any given dimension where the complements of a
 rational point do not satisfy strong approximation with Brauer-Manin
 obstruction are given.",0,0,1,0,0,0,
239,Flatness results for nonlocal minimal cones and subgraphs,"We show that nonlocal minimal cones which are non-singular subgraphs outside
 the origin are necessarily halfspaces.
 The proof is based on classical ideas of~\cite{DG1} and on the computation of
 the linearized nonlocal mean curvature operator, which is proved to satisfy a
 suitable maximum principle.
 With this, we obtain new, and somehow simpler, proofs of the Bernstein-type
 results for nonlocal minimal surfaces which have been recently established
 in~\cite{FV}. In addition, we establish a new nonlocal Bernstein-Moser-type
 result which classifies Lipschitz nonlocal minimal subgraphs outside a ball.",0,0,1,0,0,0,
240,Effective Asymptotic Formulae for Multilinear Averages of Multiplicative Functions,"Let $f_1,\ldots,f_k : \mathbb{N} \rightarrow \mathbb{C}$ be multiplicative
 functions taking values in the closed unit disc. Using an analytic approach in
 the spirit of Hal?­sz' mean value theorem, we compute multidimensional
 averages of the shape $$x^{-l} \sum_{\mathbf{n} \in [x]^l} \prod_{1 \leq j \leq
 k} f_j(L_j(\mathbf{n}))$$ as $x \rightarrow \infty$, where $[x] := [1,x]$ and
 $L_1,\ldots, L_k$ are affine linear forms that satisfy some natural conditions.
 Our approach gives a new proof of a result of Frantzikinakis and Host that is
 distinct from theirs, with \emph{explicit} main and error terms. \\ As an
 application of our formulae, we establish a \emph{local-to-global} principle
 for Gowers norms of multiplicative functions. We also compute the asymptotic
 densities of the sets of integers $n$ such that a given multiplicative function
 $f: \mathbb{N} \rightarrow \{-1, 1\}$ yields a fixed sign pattern of length 3
 or 4 on almost all 3- and 4-term arithmetic progressions, respectively, with
 first term $n$.",0,0,1,0,0,0,
